**** Planta:   48                                0
A~no Blk ......1 ......2 ......3 ......4 ......5 ......6 ......7 ......8 ......9 .....10 .....11 .....12
A~no Blk ......1 ......2 ......3 ......4 ......5 ......6 ......7 ......8 ......9 .....10 .....11 .....12
2021   1                                                               0       0       0       0       0
2021   2                                                               0       0       0       0       0
2021   3                                                               0       0       0       0       0
2022   1       0       0       0       0       0       0       0       0       0       0       0       0
2022   2       0       0       0       0       0       0       0       0       0       0       0       0
2022   3       0       0       0       0       0       0       0       0       0       0       0       0
2023   1       0       0       0       0       0       0       0       0       0       0       0       0
2023   2       0       0       0       0       0       0       0       0       0       0       0       0
2023   3       0       0       0       0       0       0       0       0       0       0       0       0
2024   1       0       0       0       0       0       0       0       0       0       0       0       0
2024   2       0       0       0       0       0       0       0       0       0       0       0       0
2024   3       0       0       0       0       0       0       0       0       0       0       0       0
2025   1       0       0       0       0       0       0       0       0       0       0       0       0
2025   2       0       0       0       0       0       0       0       0       0       0       0       0
2025   3       0       0       0       0       0       0       0       0       0       0       0       0
**** Planta:  995                                0
A~no Blk ......1 ......2 ......3 ......4 ......5 ......6 ......7 ......8 ......9 .....10 .....11 .....12
2021   1                                                             805  752.14  890.77  859.23  807.54
2021   2                                                           807.8  774.97  898.98   890.2  842.65
2021   3                                                          794.91  749.49  871.96  883.69  830.07
2022   1  990.05   942.9  904.17  824.62  916.18 1055.34  954.37  844.28  788.19   931.3  916.23  858.96
2022   2 1024.53  968.74  936.92  831.35  920.12 1068.87  956.74  846.88  811.64   939.7  948.88  895.22
2022   3 1007.29  928.57  918.16  795.42  911.79 1072.92  944.01  833.19   785.1  911.37  941.75  881.67
2023   1 1050.39  975.48     936  846.56  946.41 1101.98 1009.01  893.88  834.39   986.7  949.74  898.37
2023   2 1086.53    1002  969.42  853.29  950.29 1115.89 1010.82  896.11  858.53   995.4  983.27  935.54
2023   3 1068.25  960.56  950.09  816.52  941.59 1120.23  997.47  881.53  830.87  965.18  975.79  921.19
2024   1 1108.71 1031.61   995.5  904.36    1003 1152.36 1042.87  925.52  863.35 1015.35  977.29  918.37
2024   2 1146.38 1059.04 1030.31  911.22  1006.6 1166.67 1044.53  927.54  887.98 1024.11  1011.6  955.97
2024   3 1127.09 1015.63 1009.67  872.37  997.19  1171.1 1030.83  912.36  859.45     993  1003.9  941.22
2025   1 1126.51 1049.41 1006.42   910.6 1009.11 1160.28 1072.22  952.05  888.25 1046.71 1008.78  949.24
2025   2 1164.56 1077.11 1041.51  917.41 1012.63 1174.69 1073.61  953.94  913.22 1055.64 1043.97   987.6
2025   3 1145.08 1033.05 1020.64  878.34 1003.17 1179.14 1059.53  938.24  884.06 1023.46 1035.92  972.26
**** Planta:  994                                0
A~no Blk ......1 ......2 ......3 ......4 ......5 ......6 ......7 ......8 ......9 .....10 .....11 .....12
2021   1                                                          464.54  477.45   457.6  440.64  333.81
2021   2                                                          469.37  488.16  469.23  443.14  337.67
2021   3                                                          472.37  492.21   474.9  449.79  342.49
2022   1   328.9  337.13  301.09  426.34  456.82  502.15  484.75   503.8  518.04  497.86  474.96  359.99
2022   2  332.73  342.75  303.19  437.87  458.89  506.91  487.09  509.66  530.53  511.51  478.81  365.31
2022   3  334.93  345.98  299.73  438.21  462.99  508.58   488.6  513.17  534.92  517.69  486.67  371.33
2023   1  354.45  366.17  327.67  461.29   495.1  502.15  484.75   503.8  517.78  498.17  474.96  364.41
2023   2   360.1  372.51  330.19  473.63  497.95  506.91  487.09  509.66  530.26  511.76  478.81  369.91
2023   3  362.59  376.31  326.85  474.48  502.54  508.58   488.6  513.17  534.66     518  486.67  376.12
2024   1  358.21   370.1   331.7   466.9  501.85  507.85  490.78  510.47  524.79  504.43  480.68  364.56
2024   2  364.18  376.54  334.29  479.42  504.78  512.81  493.24  516.51  537.55  518.39  484.77  370.06
2024   3  366.69  380.43  330.97  480.28  509.49  514.55  494.82  520.12     542   524.7  492.83  376.31
2025   1  358.21  370.21   331.7  466.52  501.85  507.85  490.78  510.32  524.08  504.43  480.68   364.7
2025   2  364.18  376.62  334.29  479.04  504.78  512.81  493.24  516.36  536.81  518.39  484.77  370.25
2025   3  366.69   380.5  330.97   479.9  509.49  514.55  494.82  519.97  541.25   524.7  492.83   376.5
