& Caso de Calculo de Garantia Fisica para Desestatizacao da Eletrobras
&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&
& Cadastro das familias de curvas de jusante
&
& Usina: codigo da usina hidraulica
& Indice: indice da familia (sequencial)
& HjusRef: nivel de montante da usina de jusante para referencia da familia
& nPol: quantidade de polinomios da familia
&
&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&
&         Usina    Indice   HjusRef    nPol
&XXXXXXX   XXXX     XXX    XXXXXXXXXX  XXX
PPPJUS     0031     004                7328.0050           19747.9100           436.267400         8.497187D-04        -1.418843D-08        -5.206503D-13         1.896291D-17
PPPJUS     0031     005                   0.0000            5362.1480           434.200000         3.151069D-06         9.920681D-07        -2.561756D-10         2.015593D-14
PPPJUS     0031     005                5362.1480            7328.0050           432.111500         3.174723D-03        -7.080179D-07         1.011982D-10        -5.408472D-15
PPPJUS     0031     005                7328.0050           19747.9100           436.267400         8.497187D-04        -1.418843D-08        -5.206503D-13         1.896291D-17
PPPJUS     0123     001         0.0000000000D+00     6.0948295737D+02     3.9317408484D+02     2.7477961410D-03     4.5155790960D-05    -1.2069752512D-07     8.7025953627D-11
PPPJUS     0123     001         6.0948295737D+02     2.0912037568D+03     3.9457360344D+02     3.6861117085D-03    -1.5533080885D-06     2.7310503965D-10     0.0000000000D+00
PPPJUS     0169     001                   0.0000            4643.0050           360.179100         2.198224D-03        -7.650648D-07         1.721597D-10        -1.419330D-14
PPPJUS     0169     001                4643.0050           16955.1500           360.818300         1.117972D-03        -8.407404D-08         3.606612D-12        -6.296059D-17
PPPJUS     0172     001                   0.0000           20347.4400           251.312200         1.320254D-07        -5.429890D-11         7.443805D-15         0.000000D+00
PPPJUS     0172     001               20347.4400          136042.7000           251.166900         1.164620D-05        -1.339628D-10         8.399171D-16        -2.073718D-21
PPPJUS     0172     002                   0.0000           35575.7400           251.400000         8.204771D-10        -8.298532D-13         2.508262D-16         2.240943D-20
PPPJUS     0172     002               35575.7400          136042.7000           251.166900         1.164620D-05        -1.339628D-10         8.399171D-16        -2.073718D-21
PPPJUS     0172     003                   0.0000           62290.5300           251.500000         1.483491D-10        -1.302991D-13         3.451316D-17         2.423940D-21
PPPJUS     0172     003               62290.5300          136042.7000           251.166900         1.164620D-05        -1.339628D-10         8.399171D-16        -2.073718D-21
PPPJUS     0172     004                   0.0000          113232.5000           251.600000         1.773699D-11        -1.804274D-14         5.792690D-18         2.331796D-22
PPPJUS     0172     004              113232.5000          136042.7000           251.166900         1.164620D-05        -1.339628D-10         8.399171D-16        -2.073718D-21
PPPJUS     0176     001                   0.0000            2639.3630           137.002400        -4.421288D-17         4.135101D-07         2.794359D-11        -2.876661D-14
PPPJUS     0176     001                2639.3630           16448.1200           136.760400         1.077322D-03        -9.889048D-08         4.924916D-12        -9.653088D-17
